Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2022 - December 31, 2022"
Statement,Data,WhenGenerated,"2024-10-08, 17:25:02 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Louis Garnier
Account Information,Data,Account,U7850924
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,EUR
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1.48459315,1.4846,-0.000007278,1.484592722,-0.000000428
Net Asset Value,Data,Stock,1045.1276715,469.8853504,0,469.8853504,-575.2423211
Net Asset Value,Data,Total,1046.61226465,471.3699504,-0.000007278,471.369943122,-575.242321528
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-54.962314217%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,1046.61226465
Change in NAV,Data,Mark-to-Market,-575.24232153
Change in NAV,Data,Ending Value,471.369943122
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ATRA,6,6,15.7600,3.2800,-69.752556,0,0,0,-69.752556,
Mark-to-Market Performance Summary,Data,Stocks,DOCN,3.5683,3.5683,80.3300,25.4700,-183.6911245,0,0,0,-183.6911245,
Mark-to-Market Performance Summary,Data,Stocks,LULU,0.7388,0.7388,391.4500,320.3800,-47.50383,0,0,0,-47.50383,
Mark-to-Market Performance Summary,Data,Stocks,OKTA,1.3222,1.3222,224.1700,68.3300,-194.1777452,0,0,0,-194.1777452,
Mark-to-Market Performance Summary,Data,Stocks,PATH,5.1414,5.1414,43.1300,12.7100,-145.4445357,0,0,0,-145.4445357,
Mark-to-Market Performance Summary,Data,Total,,,,,,-640.5697914,0,0,0,-640.5697914,
Mark-to-Market Performance Summary,Data,Forex,EUR,1.4846,1.4846,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Forex,USD,-0.00000779,-0.00000779,0.87933,0.93424,65.32746987,0,0,0,65.32746987,
Mark-to-Market Performance Summary,Data,Total,,,,,,65.32746987,0,0,0,65.32746987,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,-575.24232153,0,0,0,-575.24232153,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,ATRA,0,0,0,0,0,0,0,0,0,-80.0269984,-80.0269984,-80.0269984,
Realized & Unrealized Performance Summary,Data,Stocks,DOCN,0,0,0,0,0,0,0,0,0,-196.295908394,-196.295908394,-196.295908394,
Realized & Unrealized Performance Summary,Data,Stocks,LULU,0,0,0,0,0,0,0,0,0,-60.06190189,-60.06190189,-60.06190189,
Realized & Unrealized Performance Summary,Data,Stocks,OKTA,0,0,0,0,0,0,0,0,0,-196.794397371,-196.794397371,-196.794397371,
Realized & Unrealized Performance Summary,Data,Stocks,PATH,0,0,0,0,0,0,0,0,0,-153.819979575,-153.819979575,-153.819979575,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,0,0,0,-686.99918563,-686.99918563,-686.99918563,
